2,10,19.53776526451111,win
1,5,23.88167715072632,lose
1,10,25.66630482673645,win
1,1,5.711186408996582,lose
1,0,10.737260818481445,lose
1,9,32.4049186706543,win
2,10,39.882829666137695,win
2,10,31.593198776245117,win
1,10,25.247918367385864,win
1,6,47.320990562438965,lose
1,3,18.071410179138184,lose
1,10,21.590631008148193,win
1,10,36.916118144989014,win
2,3,22.777823209762573,lose
2,0,20.30993390083313,lose
1,10,45.59152793884277,win
2,0,5.1173341274261475,lose
1,7,35.63339424133301,win
1,5,27.527858018875122,lose
1,7,31.202799320220947,win
1,0,2.2860379219055176,lose
1,0,3.3518145084381104,lose
1,0,4.307345390319824,lose
1,0,4.944766044616699,lose
